Year,Id,Predicted.Values
2015,00000063,Retained
2015,00000065,Retained
2015,00000183,Retained
2014,00001258,Lost
2015,00001492,Retained
2014,00002716,Retained
2015,00003216,Retained
2015,00004262,Retained
2014,00004377,Retained
2014,00004778,Retained
2014,00004856,Retained
2015,00005025,Retained
2015,00005521,Retained
2012,00012335,Retained
2015,00012638,Retained
2015,00012812,Retained
2015,00014259,Retained
2015,00015018,Retained
2015,00015362,Retained
2015,00015616,Retained
2015,00016186,Retained
2015,00018676,Retained
2015,00018861,Retained
2015,00019002,Retained
2015,00019357,Retained
2015,00019433,Retained
2015,00020629,Retained
2015,00020669,Retained
2013,00020941,Retained
2015,00021052,Retained
2014,00021070,Retained
2015,00021505,Retained
2015,00022105,Retained
2014,00022442,Retained
2014,00022752,Retained
2015,00023056,Retained
2013,00023152,Retained
2014,00024389,Retained
2015,00024852,Retained
2014,00025062,Retained
2015,00025963,Retained
2014,00026892,Retained
2015,00027694,Retained
2015,00028456,Retained
2015,00029133,Retained
2015,00029286,Retained
2015,00029829,Retained
2015,00030433,Retained
2014,00031300,Retained
2015,00032490,Retained
2015,00032562,Retained
2015,00032613,Retained
2015,00032972,Retained
2015,00033201,Retained
2014,00033213,Retained
2015,00033715,Retained
2014,00033954,Retained
2013,00034269,Retained
2014,00036097,Retained
2015,00037163,Retained
2015,00037699,Retained
2015,00037725,Retained
2015,00037952,Retained
2014,00038429,Retained
2014,00038544,Retained
2014,00038820,Retained
2015,00039629,Retained
2015,00039663,Retained
2015,00040810,Retained
2015,00040819,Retained
2015,00042186,Retained
2014,00043104,Retained
2015,00043374,Retained
2012,00043557,Retained
2014,00043721,Retained
2015,00043885,Retained
2014,00044380,Retained
2015,00044525,Retained
2015,00044867,Retained
2015,00048465,Retained
2013,00051422,Retained
2015,00064039,Retained
2015,00064320,Retained
2015,00068267,Retained
2015,00069782,Retained
2014,00070148,Retained
2015,00076581,Retained
2014,00077502,Retained
2014,00077923,Retained
2014,00077923,Retained
2014,00078085,Retained
2015,00078319,Retained
2014,00078392,Retained
2015,00078447,Retained
2015,00079536,Retained
2014,00079715,Retained
2014,00084325,Retained
2015,00085391,Retained
2015,00088890,Retained
2015,00090213,Retained
2014,00103340,Retained
2015,00103468,Retained
2015,00103699,Retained
2015,00104057,Retained
2015,00104079,Retained
2014,00105590,Retained
2014,00106187,Retained
2014,00107510,Retained
2014,00107619,Retained
2015,00107992,Retained
2015,00108541,Retained
2014,00108848,Retained
2014,00109039,Retained
2014,00109349,Retained
2015,00109827,Retained
2015,00110387,Retained
2015,00110403,Retained
2015,00111174,Retained
2015,00112402,Retained
2015,00114864,Retained
2015,00115047,Retained
2013,00115341,Retained
2015,00116069,Retained
2015,00116755,Retained
2015,00117363,Retained
2015,00118201,Retained
2015,00118290,Retained
2014,00118713,Retained
2015,00118763,Retained
2015,00119613,Retained
2014,00119667,Retained
2015,00119909,Retained
2014,00119987,Retained
2015,00120047,Retained
2015,00120864,Retained
2014,00120893,Retained
2014,00120895,Retained
2015,00121517,Retained
2015,00121619,Retained
2015,00122221,Retained
2015,00122499,Retained
2015,00123252,Retained
2015,00124574,Retained
2015,00125320,Retained
2014,00125689,Retained
2015,00126752,Retained
2014,00126879,Retained
2015,00127227,Retained
2014,00127864,Retained
2014,00128966,Lost
2014,00129050,Retained
2015,00129502,Retained
2015,00130602,Retained
2015,00130608,Retained
2014,00130662,Retained
2015,00131342,Retained
2014,00131813,Retained
2015,00131860,Retained
2015,00132286,Retained
2012,00132934,Lost
2014,00133129,Retained
2014,00133505,Retained
2014,00133822,Retained
2015,00135412,Retained
2015,00136861,Retained
2014,00136944,Retained
2015,00141918,Retained
2015,00142000,Retained
2015,00143378,Retained
2015,00144058,Retained
2014,00144205,Retained
2015,00145160,Retained
2015,00145204,Retained
2014,00145416,Retained
2015,00145748,Retained
2015,00146873,Retained
2014,00147005,Retained
2015,00147031,Retained
2015,00148372,Retained
2015,00148464,Retained
2015,00148484,Retained
2014,00148543,Retained
2014,00149192,Retained
2015,00149289,Retained
2014,00149589,Retained
2014,00151135,Retained
2015,00151804,Retained
2015,00153248,Retained
2015,00154033,Retained
2015,00154610,Retained
2015,00155743,Retained
2013,00156350,Lost
2014,00156597,Retained
2014,00156667,Retained
2015,00160426,Retained
2014,00160985,Retained
2015,00161461,Retained
2014,00162278,Lost
2015,00162290,Retained
2015,00163643,Retained
2015,00164600,Retained
2015,00164827,Retained
2014,00164935,Retained
