fare,tip,dist,long,lat,Count,cluster,State
509384,823.58,1262.81,-73.9875,40.7335,610,2,NY
446787.3,51353.99,157469.3,-73.7818,40.6448,9478,2,NY
437983.5,50333.79,153814.8,-73.7821,40.6447,9541,2,NY
422980,45957.66,146981.3,-73.7766,40.6454,9879,2,NY
421103.6,48348.57,147735,-73.7821,40.6445,9420,2,NY
389204.8,51131.27,118893.1,-73.8709,40.7736,12712,2,NY
385179.5,44664.91,134689.1,-73.7824,40.6445,8538,2,NY
374293,42990.97,130521.7,-73.7823,40.6446,8245,2,NY
366438.7,41525.76,127847,-73.7768,40.6453,8438,2,NY
358826,38420.49,6626291,-73.7833,40.6486,7842,2,NY
357322.7,2755.07,4475.28,-73.9651,40.7553,2129,2,NY
353384.2,39584.09,123366.1,-73.782,40.6445,7952,2,NY
345426.8,38884.32,120505.8,-73.7768,40.6451,8125,2,NY
342777.2,51763.64,105825.5,-73.8706,40.7736,11313,2,NY
342271.8,39098.06,119053.8,-73.7768,40.645,8054,2,NY
340327.2,59978.13,106673.8,-73.8746,40.774,11072,2,NY
332129.9,60128.01,104393.2,-73.8633,40.7699,9941,2,NY
331261.3,57146.79,102981.6,-73.8628,40.7691,10079,2,NY
330018.1,897.13,1625.55,-73.9835,40.7653,621,2,NY
329882.3,35649.88,115160.3,-73.7837,40.6486,6853,2,NY
327818.5,38421.35,115511.2,-73.7817,40.6448,6800,2,NY
319255.6,35454.64,111921,-73.7819,40.6448,6961,2,NY
316709,50797.82,97766.47,-73.8728,40.7741,10394,2,NY
310437.5,47872.89,95530.25,-73.8729,40.7739,10245,2,NY
298605.4,57739.29,89485.89,-73.8853,40.7731,10016,2,NY
291668.2,35810.5,103042.6,-73.7768,40.6454,6466,2,NY
289440.1,35440.66,101583.3,-73.7767,40.6455,6229,2,NY
284056.9,56547.79,85081.57,-73.8853,40.773,9393,2,NY
282858.7,50275.19,86532.19,-73.8634,40.7699,8432,2,NY
280008.3,31796.85,97876.19,-73.7768,40.6452,6576,2,NY
278021.7,38563.41,85087.26,-73.8711,40.7738,8904,2,NY
277870.7,37213.85,8085922,-73.8708,40.7738,9277,2,NY
277844.7,48630.83,87059.83,-73.8747,40.774,8991,2,NY
272005.8,29445.91,96187.76,-73.7838,40.6486,5568,2,NY
270781.6,42410.35,83147.3,-73.8728,40.774,8888,2,NY
266667.4,46768.45,81650.68,-73.8635,40.7698,8015,2,NY
265222.3,32180.63,52711.57,-73.9941,40.7512,22107,2,NY
264147.3,45096.83,82337.24,-73.8744,40.7741,8622,2,NY
264136.2,41221.15,81611.72,-73.8732,40.774,8590,2,NY
262112.6,40487.8,81531.91,-73.873,40.7739,8636,2,NY
259045.7,27609.32,90790.39,-73.7819,40.6445,5879,2,NY
258455.3,45125.03,78802.03,-73.8635,40.7697,7697,2,NY
258275.2,44248.35,78791.31,-73.8636,40.7697,7709,2,NY
257574.7,45997.06,78610.53,-73.8634,40.7698,7707,2,NY
255790.3,47250.46,78398.59,-73.8633,40.77,7669,2,NY
251563.6,45358.48,77393.01,-73.8634,40.77,7552,2,NY
248863.4,43191.88,76360.36,-73.8636,40.7698,7536,2,NY
248064.9,44237.46,76171.9,-73.8635,40.7699,7464,2,NY
244316.8,49219.64,73182.7,-73.8852,40.773,7999,2,NY
243947.4,28072.82,86004.86,-73.7839,40.6486,4943,2,NY
241535,39317.44,74445.63,-73.8629,40.7687,7190,2,NY
236719.4,28351.73,82384.97,-73.7825,40.6445,5287,2,NY
236716.4,37043.75,374196.5,-73.873,40.7742,7931,2,NY
234489.9,26924.09,81700,-73.7822,40.6447,5162,2,NY
234000.9,37950.9,72292.77,-73.8729,40.7742,7828,2,NY
233942.4,40930.29,72920.32,-73.8748,40.774,7508,2,NY
226567.8,38190.11,69292.48,-73.8637,40.7697,6795,2,NY
224923,39566.25,68412.31,-73.8634,40.7697,6704,2,NY
222646.9,39796.2,68159.11,-73.8633,40.7698,6629,2,NY
220856.9,23184.59,76655.54,-73.7817,40.6446,4755,2,NY
220640.2,1274.06,2443.82,-73.9861,40.7587,641,2,NY
218673.2,27127.82,78235.64,-73.7812,40.6449,4296,2,NY
214496.4,36935.26,66854.54,-73.8626,40.769,6590,2,NY
214257.4,33742.43,65713.56,-73.8629,40.7688,6270,2,NY
211315.6,24873.59,72607.58,-73.7898,40.6468,4664,2,NY
211003.1,24379.86,71615.16,-73.7899,40.6468,4625,2,NY
208435.1,35056.34,63956.71,-73.8637,40.7698,6215,2,NY
207197.9,36140.2,63593.8,-73.8636,40.7699,6279,2,NY
206035.5,22321.71,71810.21,-73.782,40.6448,4503,2,NY
202849.5,23917.9,71656.93,-73.784,40.6486,4102,2,NY
201249.2,36006.54,62127.46,-73.8635,40.77,6079,2,NY
199135.2,32760.12,61730.98,-73.8628,40.7689,6057,2,NY
196622.6,25368.49,37319.51,-73.9942,40.751,15921,2,NY
194881.2,23178.98,5043504,-73.994,40.7513,16423,2,NY
194846.7,23454.31,63118.02,-73.7899,40.6469,4329,2,NY
194160.4,27105.41,59316.18,-73.8712,40.7739,6137,2,NY
193552.6,23385.34,64115.02,-73.7898,40.6469,4312,2,NY
192551.5,22400.06,37113.56,-73.9914,40.75,16884,2,NY
192199.7,32662.6,59540.59,-73.8629,40.7691,5861,2,NY
191795.3,24686.89,528858,-73.9946,40.7504,15152,2,NY
190660.3,29299.19,58365.07,-73.8728,40.7739,6254,2,NY
187922.9,24349.55,67112.64,-73.7768,40.6455,3963,2,NY
187668.2,23037.99,35356.4,-73.994,40.751,15235,2,NY
186965.9,31658.43,57097.69,-73.8636,40.7696,5592,2,NY
186224.1,21157.81,64935.63,-73.7824,40.6446,4087,2,NY
185175,30631.9,56507.6,-73.8638,40.7697,5560,2,NY
184594.7,32544.42,56343.64,-73.8632,40.7698,5502,2,NY
184158.1,22950.76,56216.44,-73.871,40.7736,6058,2,NY
183331.2,21555.44,35675.93,-73.9914,40.7499,16014,2,NY
182505.1,22388.52,63593.1,-73.7811,40.6449,3503,2,NY
181550.2,21325.04,62318.1,-73.7897,40.6468,4007,2,NY
179372.3,30168.22,55038.28,-73.8638,40.7698,5340,2,NY
