fare,tip,dist,long,lat,Count,cluster,State
1487191,209216,458119.4,-73.8708,40.7737,49370,1,NY
1491948,258696.5,467598.7,-73.8744,40.774,48919,1,NY
1331123,179135.6,408738.3,-73.8709,40.7737,43926,1,NY
1909897,221030.6,668723.3,-73.7767,40.6453,43808,1,NY
461826.2,54832.74,11892398,-73.994,40.7512,38217,1,NY
463207,56947.77,89025.35,-73.9941,40.7511,37999,1,NY
1081469,169683.7,334552.7,-73.873,40.7741,35941,1,NY
425315.5,51127.52,82210.6,-73.994,40.7511,34514,1,NY
1506425,169349.8,529600.4,-73.7818,40.6447,32328,1,NY
901937.1,155557.5,283300.6,-73.8745,40.774,29597,1,NY
265222.3,32180.63,52711.57,-73.9941,40.7512,22107,2,NY
192551.5,22400.06,37113.56,-73.9914,40.75,16884,2,NY
194881.2,23178.98,5043504,-73.994,40.7513,16423,2,NY
183331.2,21555.44,35675.93,-73.9914,40.7499,16014,2,NY
196622.6,25368.49,37319.51,-73.9942,40.751,15921,2,NY
187668.2,23037.99,35356.4,-73.994,40.751,15235,2,NY
191795.3,24686.89,528858,-73.9946,40.7504,15152,2,NY
172491.8,20232.49,33251.74,-73.9915,40.75,14998,2,NY
170642.3,20030.04,33690.57,-73.9915,40.7499,14784,2,NY
157413.7,18265.33,30730.45,-73.9913,40.75,13595,2,NY
6351.5,654.79,964.62,-73.9638,40.7677,906,3,NY
7151.5,771.72,1408.22,-73.9651,40.7721,867,3,NY
7330,824.75,1320.41,-73.9665,40.7703,862,3,NY
7268.5,817.2,1354,-73.9673,40.7693,861,3,NY
6906.6,898.46,1272.15,-73.9649,40.7638,855,3,NY
7325,817.07,1517.27,-73.9605,40.77,854,3,NY
7470.4,819.57,1479.59,-73.9533,40.7785,853,3,NY
7118.2,883.64,1417.31,-73.97,40.7656,852,3,NY
7314.5,879.74,1511.47,-73.9693,40.7663,851,3,NY
7291,858.68,1436.96,-73.9698,40.7656,851,3,NY
