id,lat,long,State
1,40.7848,-73.9538,NY
2,40.796,-73.9708,NY
3,40.756,-73.9907,NY
4,40.7394,-73.8796,NY
5,40.7628,-73.9757,NY
6,40.6482,-73.7882,NY
7,40.7538,-73.996,NY
8,40.6841,-73.9775,NY
9,40.7574,-73.9667,NY
10,40.7748,-73.9844,NY
11,40.704,-74.0126,NY
12,40.7561,-73.9832,NY
13,40.655,-73.7897,NY
14,40.7528,-73.9695,NY
15,40.7756,-73.9605,NY
16,40.7317,-74.001,NY
17,40.7676,-73.9279,NY
18,40.6714,-73.9461,NY
19,40.7259,-73.9775,NY
20,40.8003,-73.9546,NY
21,40.733,-74.0064,NY
22,40.7282,-73.9849,NY
23,40.7293,-74.0014,NY
24,40.7459,-73.9864,NY
25,40.8266,-73.9503,NY
26,40.7861,-73.9514,NY
27,40.6998,-73.9947,NY
28,40.7655,-73.9547,NY
29,40.7643,-73.9832,NY
30,40.7756,-73.9626,NY
31,40.7731,-73.9645,NY
32,40.8376,-73.9233,NY
33,40.7467,-73.9727,NY
34,40.7788,-73.9821,NY
35,40.7502,-73.9986,NY
36,40.7877,-73.9771,NY
37,40.6699,-73.9505,NY
38,40.623,-73.9263,NY
39,40.7416,-73.9937,NY
40,40.7084,-74.0112,NY
41,40.7622,-73.9787,NY
42,40.7621,-73.9836,NY
43,40.7572,-73.9898,NY
44,40.7415,-73.9896,NY
45,40.8025,-73.9509,NY
46,40.7916,-73.9526,NY
47,40.7591,-73.9863,NY
48,40.7589,-73.9685,NY
49,40.7744,-73.8773,NY
50,40.8236,-73.9377,NY
51,40.6842,-73.9353,NY
52,40.7828,-73.9497,NY
53,40.7206,-73.9548,NY
54,40.816,-73.9453,NY
55,40.8201,-73.9551,NY
56,40.8536,-73.9027,NY
57,40.7206,-74.0085,NY
58,40.7685,-73.9816,NY
59,40.7566,-73.9121,NY
60,40.6826,-74.0002,NY
61,40.7432,-73.9187,NY
62,40.7618,-73.9791,NY
63,40.7103,-73.9498,NY
64,40.7183,-73.9501,NY
65,40.7741,-73.9886,NY
66,40.7024,-73.9933,NY
67,40.749,-73.982,NY
68,40.7475,-74.0078,NY
69,40.7387,-73.9959,NY
70,40.7543,-73.969,NY
71,40.7344,-73.9908,NY
72,40.773,-73.9583,NY
73,40.7825,-73.9808,NY
74,40.7371,-73.981,NY
75,40.7054,-74.0071,NY
76,40.6412,-73.789,NY
77,40.7804,-73.9499,NY
78,40.7627,-73.9896,NY
79,40.7137,-74.0138,NY
80,40.7502,-74.0023,NY
81,40.6947,-73.9552,NY
82,40.6962,-73.8459,NY
83,40.6724,-74.0112,NY
84,40.7091,-74.014,NY
85,40.7628,-73.9657,NY
86,40.7112,-74.0159,NY
87,40.742,-73.9809,NY
88,40.735,-73.9375,NY
89,40.7722,-73.9193,NY
90,40.8082,-73.9665,NY
91,40.7398,-73.9795,NY
92,40.771,-73.9342,NY
93,40.7695,-73.9579,NY
94,40.7177,-73.9896,NY
95,40.7296,-73.8082,NY
96,40.7679,-73.996,NY
97,40.7395,-73.9213,NY
98,40.7577,-73.9752,NY
99,40.7227,-73.996,NY
100,40.7188,-73.9976,NY
101,40.6751,-73.975,NY
102,40.8508,-73.9005,NY
103,40.8235,-73.9414,NY
104,40.7753,-73.9536,NY
105,40.7087,-73.7993,NY
106,40.7449,-73.8763,NY
107,40.7163,-73.7958,NY
108,40.6784,-73.9136,NY
109,40.7429,-73.9168,NY
110,40.7608,-73.9983,NY
111,40.7644,-73.9824,NY
112,40.6672,-73.9341,NY
113,40.665,-73.9933,NY
114,40.7647,-73.9939,NY
115,40.7742,-73.8282,NY
116,40.7761,-73.9797,NY
117,40.696,-73.9845,NY
118,40.7213,-73.9778,NY
119,40.7617,-73.9943,NY
120,40.7611,-73.9969,NY
121,40.7217,-73.8864,NY
122,40.7327,-74.0081,NY
123,40.7332,-74.0032,NY
124,40.7743,-73.9848,NY
125,40.6397,-73.9679,NY
126,40.7514,-73.976,NY
127,40.8447,-73.9408,NY
128,40.7495,-73.8786,NY
129,40.7823,-73.9485,NY
130,40.763,-73.9719,NY
131,40.7235,-73.9394,NY
132,40.7484,-73.9999,NY
133,40.6844,-73.9784,NY
134,40.7114,-73.9967,NY
135,40.7602,-73.9147,NY
136,40.7553,-73.9682,NY
137,40.8238,-73.9382,NY
138,40.7771,-73.9821,NY
139,40.8194,-73.8955,NY
140,40.8252,-73.9415,NY
141,40.6941,-73.8616,NY
142,40.7407,-73.9078,NY
143,40.7514,-73.9876,NY
144,40.7634,-73.9965,NY
145,40.7392,-73.9898,NY
146,40.7084,-74.0069,NY
147,40.719,-73.9898,NY
148,40.694,-73.9941,NY
149,40.7417,-73.9874,NY
150,40.7614,-73.9997,NY
151,40.7929,-73.9675,NY
152,40.764,-73.9785,NY
153,40.7416,-74.0049,NY
154,40.7395,-73.9847,NY
155,40.7316,-74.0066,NY
156,40.6884,-73.9806,NY
157,40.7471,-73.9792,NY
158,40.7711,-73.9638,NY
159,40.8064,-73.954,NY
160,40.67,-73.9933,NY
161,40.7108,-73.9685,NY
162,40.7998,-73.9682,NY
163,40.6765,-73.9635,NY
164,40.7558,-73.9924,NY
165,40.7584,-73.971,NY
166,40.7637,-73.9735,NY
167,40.8023,-73.9681,NY
168,40.7669,-73.9537,NY
169,40.7818,-73.9831,NY
170,40.6591,-73.9551,NY
171,40.7422,-73.997,NY
172,40.7503,-73.9948,NY
173,40.7497,-73.9916,NY
174,40.6906,-73.992,NY
175,40.7603,-73.995,NY
176,40.782,-73.9717,NY
177,40.7078,-74.0117,NY
178,40.7705,-73.9801,NY
179,40.7052,-73.9297,NY
180,40.7788,-73.954,NY
181,40.7471,-73.9564,NY
182,40.6683,-73.796,NY
183,40.6558,-73.9446,NY
184,40.7459,-73.9552,NY
185,40.7659,-73.9946,NY
186,40.7979,-73.934,NY
187,40.7348,-73.9799,NY
188,40.8493,-73.9337,NY
189,40.7801,-73.947,NY
190,40.8025,-73.9468,NY
191,40.673,-73.9433,NY
192,40.761,-73.9908,NY
193,40.6753,-73.9679,NY
194,40.7429,-73.7917,NY
195,40.7749,-73.9508,NY
196,40.7468,-73.9227,NY
197,40.7429,-73.9928,NY
198,40.7806,-73.9522,NY
199,40.7184,-74.0005,NY
200,40.7605,-73.9078,NY
201,40.773,-73.9821,NY
202,40.6538,-73.9553,NY
203,40.6627,-73.9851,NY
204,40.7483,-73.9902,NY
205,40.7522,-73.9935,NY
206,40.7186,-73.9882,NY
207,40.8213,-73.9461,NY
208,40.8303,-73.9149,NY
209,40.7593,-73.9653,NY
210,40.8565,-73.8695,NY
211,40.7144,-74.0084,NY
212,40.5804,-73.9716,NY
213,40.7676,-73.912,NY
214,40.7129,-73.9778,NY
215,40.7469,-73.979,NY
216,40.7761,-73.9108,NY
217,40.7878,-73.9475,NY
218,40.7859,-73.9509,NY
219,40.7458,-73.9844,NY
220,40.8543,-73.9363,NY
221,40.7317,-74.0066,NY
222,40.703,-73.9835,NY
223,40.8101,-73.9412,NY
224,40.703,-74.0115,NY
225,40.7208,-74.0007,NY
226,40.8007,-73.9465,NY
227,40.6641,-73.9482,NY
228,40.7098,-74.01,NY
229,40.7751,-73.9842,NY
230,40.7677,-73.934,NY
231,40.7594,-73.9956,NY
232,40.7515,-73.9782,NY
233,40.7548,-73.9799,NY
234,40.751,-73.9906,NY
235,40.818,-73.9604,NY
236,40.7594,-73.9851,NY
237,40.8024,-73.9494,NY
238,40.7535,-73.9925,NY
239,40.7845,-73.9774,NY
240,40.7634,-73.9592,NY
241,40.7337,-73.9548,NY
242,40.7623,-73.9703,NY
243,40.7755,-73.9765,NY
244,40.7457,-73.9802,NY
245,40.688,-73.9896,NY
246,40.7653,-73.9549,NY
247,40.7647,-73.9643,NY
248,40.7606,-73.9836,NY
249,40.717,-74.0144,NY
250,40.7606,-73.9643,NY
251,40.8338,-73.9404,NY
252,40.7624,-73.9786,NY
253,40.7091,-74.0055,NY
254,40.7698,-73.9881,NY
255,40.7324,-74.0104,NY
256,40.723,-73.9988,NY
257,40.7699,-73.961,NY
258,40.7344,-73.9802,NY
259,40.6523,-73.9458,NY
260,40.6235,-74.0311,NY
261,40.7461,-73.8737,NY
262,40.697,-73.9352,NY
263,40.6555,-74.0064,NY
264,40.7413,-73.9753,NY
265,40.7371,-73.983,NY
266,40.7454,-73.9947,NY
267,40.7388,-73.9831,NY
268,40.7752,-73.9046,NY
269,40.7644,-73.9985,NY
270,40.8029,-73.9676,NY
271,40.8096,-73.9577,NY
272,40.7787,-73.9778,NY
273,40.5281,-74.189,NY
274,40.8031,-73.9384,NY
275,40.6975,-73.9914,NY
276,40.8461,-73.9342,NY
277,40.7403,-73.9905,NY
278,40.7385,-73.99,NY
279,40.7714,-73.9822,NY
280,40.7897,-73.9661,NY
281,40.6914,-73.9908,NY
282,40.692,-73.9666,NY
283,40.648,-74.011,NY
284,40.7325,-74.0096,NY
285,40.736,-73.9978,NY
286,40.8059,-73.9528,NY
287,40.677,-74.0079,NY
288,40.6793,-73.99,NY
289,40.7604,-73.9912,NY
290,40.7096,-74.0149,NY
291,40.741,-73.918,NY
292,40.7405,-73.9983,NY
293,40.704,-73.9342,NY
294,40.7108,-73.9452,NY
295,40.764,-73.996,NY
296,40.7152,-74.0054,NY
297,40.6643,-73.9573,NY
298,40.7955,-73.9481,NY
299,40.7376,-74.0082,NY
300,40.7435,-73.9882,NY
301,40.7663,-73.9818,NY
302,40.721,-74.0053,NY
303,40.7277,-74.0032,NY
304,40.7724,-73.9825,NY
305,40.6521,-73.942,NY
306,40.7535,-73.9809,NY
307,40.7122,-74.0085,NY
308,40.7654,-73.9564,NY
309,40.8496,-73.9368,NY
310,40.7484,-73.9846,NY
311,40.771,-73.9536,NY
312,40.683,-73.9648,NY
313,40.732,-73.982,NY
314,40.846,-73.9099,NY
315,40.7721,-73.9499,NY
316,40.7265,-74.0023,NY
317,40.7458,-73.9823,NY
318,40.7266,-73.9849,NY
319,40.7194,-74.0019,NY
320,40.7511,-73.9713,NY
321,40.7348,-74.0039,NY
322,40.8505,-73.8993,NY
323,40.7975,-73.9467,NY
324,40.7347,-73.9946,NY
325,40.7695,-73.96,NY
326,40.7518,-73.9647,NY
327,40.7778,-73.9757,NY
328,40.7482,-73.9763,NY
329,40.7184,-73.9892,NY
330,40.7468,-73.8914,NY
331,40.6562,-73.9516,NY
332,40.7172,-73.8349,NY
333,40.7166,-73.8342,NY
334,40.6433,-73.9854,NY
335,40.7023,-73.9424,NY
336,40.6153,-74.0333,NY
337,40.7628,-73.9912,NY
338,40.8188,-73.956,NY
339,40.6941,-73.8974,NY
340,40.7734,-73.9531,NY
341,40.7284,-74.0028,NY
342,40.7666,-73.9867,NY
343,40.7462,-73.9852,NY
344,40.7556,-73.9185,NY
345,40.701,-73.9527,NY
346,40.6689,-73.9931,NY
347,40.7351,-73.9873,NY
348,40.69,-73.8643,NY
349,40.7212,-73.9922,NY
350,40.7748,-73.9103,NY
351,40.7657,-73.9836,NY
352,40.7178,-73.9577,NY
353,40.7502,-74.0061,NY
354,40.7544,-73.9772,NY
355,40.7605,-73.9846,NY
356,40.7492,-73.9727,NY
357,40.7542,-73.9804,NY
358,40.7725,-73.967,NY
359,40.7227,-73.998,NY
360,40.7644,-73.9113,NY
361,40.752,-73.9973,NY
362,40.7802,-73.9551,NY
363,40.7524,-73.9783,NY
364,40.75,-73.8777,NY
365,40.7507,-74.0034,NY
366,40.7577,-73.9908,NY
367,40.7545,-73.9774,NY
368,40.7448,-73.9951,NY
369,40.709,-73.9528,NY
370,40.8003,-73.9556,NY
371,40.7528,-73.9273,NY
372,40.761,-73.9754,NY
373,40.77,-73.9512,NY
374,40.7248,-73.9924,NY
375,40.7215,-73.844,NY
376,40.6797,-73.9743,NY
377,40.7414,-73.9891,NY
378,40.7742,-73.9849,NY
379,40.7928,-73.9398,NY
380,40.7821,-73.9558,NY
381,40.7146,-73.8315,NY
