id,lat,long,State
1713,40.7534,-73.9963,NY
1714,40.8102,-73.9395,NY
1715,40.7578,-73.9989,NY
1716,40.8158,-73.9368,NY
1717,40.738,-73.9963,NY
1718,40.6072,-73.988,NY
1719,40.7145,-73.8568,NY
1720,40.7145,-74.0157,NY
1721,40.8513,-73.9084,NY
1722,40.7591,-73.9726,NY
1723,40.6629,-73.9975,NY
1724,40.7831,-73.9449,NY
1725,40.8373,-73.9401,NY
1726,40.744,-73.818,NY
1727,40.7419,-73.9075,NY
1728,40.6715,-73.9483,NY
1729,40.7149,-74.0079,NY
1730,40.7541,-73.9921,NY
1731,40.7032,-73.9847,NY
1732,40.7489,-74.007,NY
1733,40.7177,-73.9624,NY
1734,40.7677,-73.9821,NY
1735,40.701,-73.9913,NY
1736,40.7775,-73.9888,NY
1737,40.7532,-73.9744,NY
1738,40.7299,-73.9791,NY
1739,40.7851,-73.9769,NY
1740,40.7641,-73.9553,NY
1741,40.7663,-73.9877,NY
1742,40.7803,-73.9815,NY
1743,40.7205,-73.9968,NY
1744,40.7309,-73.9931,NY
1745,40.7295,-73.7228,NY
1746,40.7101,-74.0164,NY
1747,40.7485,-73.9729,NY
1748,40.7377,-73.9811,NY
1749,40.7927,-73.9771,NY
1750,40.791,-73.9514,NY
1751,40.7145,-74.0054,NY
1752,40.6715,-73.9476,NY
1753,40.7754,-73.9822,NY
1754,40.7394,-73.9204,NY
1755,40.7649,-73.9552,NY
1756,40.7488,-73.9698,NY
1757,40.8791,-73.8676,NY
1758,40.7332,-73.9999,NY
1759,40.6391,-73.9493,NY
1760,40.7236,-74.0048,NY
1761,40.7789,-73.9824,NY
1762,40.7395,-73.9232,NY
1763,40.7519,-73.9346,NY
1764,40.7083,-74.0097,NY
1765,40.6621,-73.9964,NY
1766,40.7627,-73.9821,NY
1767,40.7556,-73.9818,NY
1768,40.7303,-73.8094,NY
1769,40.7075,-73.8359,NY
1770,40.7407,-73.9797,NY
1771,40.7973,-73.9643,NY
1772,40.7623,-73.9958,NY
1773,40.7514,-73.9799,NY
1774,40.7657,-73.9762,NY
1775,40.7472,-73.9934,NY
1776,40.7273,-74.0073,NY
1777,40.7943,-73.9354,NY
1778,40.7478,-73.9809,NY
1779,40.7029,-74.0116,NY
1780,40.7557,-73.925,NY
1781,40.7249,-73.9903,NY
1782,40.7208,-74.0052,NY
1783,40.7227,-73.9981,NY
1784,40.7889,-73.9704,NY
1785,40.7052,-74.0074,NY
1786,40.6766,-73.974,NY
1787,40.7539,-73.977,NY
1788,40.7372,-73.94,NY
1789,40.6908,-73.9714,NY
1790,40.7089,-74.0071,NY
1791,40.7612,-73.9795,NY
1792,40.7856,-73.9847,NY
1793,40.7609,-73.9964,NY
1794,40.812,-73.9103,NY
1795,40.7064,-73.9319,NY
1796,40.7748,-73.9306,NY
1797,40.7409,-73.9901,NY
1798,40.7663,-73.9799,NY
1799,40.7603,-73.9717,NY
1800,40.7424,-73.9827,NY
1801,40.7258,-74.0076,NY
1802,40.7199,-73.9788,NY
1803,40.8237,-73.9015,NY
1804,40.6645,-73.9818,NY
1805,40.6835,-74.0014,NY
1806,40.8478,-73.9395,NY
1807,40.7146,-73.9996,NY
1808,40.7261,-73.9835,NY
1809,40.6971,-73.9726,NY
1810,40.6972,-73.9727,NY
1811,40.7088,-73.8158,NY
1812,40.737,-73.8105,NY
1813,40.7903,-73.9396,NY
1814,40.7053,-74.0077,NY
1815,40.7491,-73.992,NY
1816,40.8127,-73.9376,NY
1817,40.6591,-73.9867,NY
1818,40.7149,-74.0113,NY
1819,40.7223,-73.9802,NY
1820,40.7394,-74.0064,NY
1821,40.7598,-73.9763,NY
1822,40.7349,-73.9773,NY
1823,40.7537,-73.903,NY
1824,40.732,-73.9939,NY
1825,40.7634,-73.9652,NY
1826,40.7538,-73.932,NY
1827,40.7691,-73.9632,NY
1828,40.744,-73.9994,NY
1829,40.6323,-74.0379,NY
1830,40.7596,-73.9874,NY
1831,40.7372,-73.9742,NY
1832,40.6715,-73.991,NY
1833,40.765,-73.9829,NY
1834,40.7397,-73.9909,NY
1835,40.7866,-73.9684,NY
1836,40.7581,-73.9625,NY
1837,40.7442,-73.89,NY
1838,40.7805,-73.9168,NY
1839,40.7992,-73.9629,NY
