id,lat,long,State,AUTO_UNIQUE_ID_2015-11-30_pratik316_geo_1_2449_1,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
1713,40.7534,-73.9963,NY,1,1,8031.3014,,AggieReverseGeocoder,,4.01,1007310048,423 9TH AVE,New York,NY,10001,1619
1714,40.8102,-73.9395,NY,2,1,5312.534,,AggieReverseGeocoder,,4.01,1017560005,3 E 131ST ST,New York,NY,10037,3441
1715,40.7578,-73.9989,NY,3,1,6750.0432,,AggieReverseGeocoder,,4.01,1007100011,535 W 38TH ST,New York,NY,10018,1111
1716,40.8158,-73.9368,NY,4,1,5468.785,,AggieReverseGeocoder,,4.01,1017360027,29 W 138TH ST,New York,NY,10037,1711
1717,40.738,-73.9963,NY,5,1,7406.2974,,AggieReverseGeocoder,,4.01,1008160078,546 AVENUE OF THE AMERICAS,New York,NY,10011,2003
1718,40.6072,-73.988,NY,6,1,8703.1807,,AggieReverseGeocoder,,4.01,3062537501,10 AVENUE P,New York,NY,11204,6053
1719,40.7145,-73.8568,NY,7,1,11421.9481,,AggieReverseGeocoder,,4.01,4031810010,9001 68TH AVE,New York,NY,11375,5721
1720,40.7145,-74.0157,NY,8,1,8015.6763,,AggieReverseGeocoder,,4.01,1000160150,250 VESEY ST,NEW YORK,NY,10080,1002
1721,40.8513,-73.9084,NY,9,1,5078.1575,,AggieReverseGeocoder,,4.01,2028280016,50 E TREMONT AVE,New York,NY,10453,5842
1722,40.7591,-73.9726,NY,10,1,8796.9313,,AggieReverseGeocoder,,4.01,1012890036,380 PARK AVE,New York,NY,10022,4624
1723,40.6629,-73.9975,NY,11,1,9921.9385,,AggieReverseGeocoder,,4.01,3006420057,143 22ND ST,New York,NY,11232,1119
1724,40.7831,-73.9449,NY,12,1,9109.4333,,AggieReverseGeocoder,,4.01,1015580031,338 E 96TH ST,New York,NY,10128,3805
1725,40.8373,-73.9401,NY,13,1,4828.1559,,AggieReverseGeocoder,,4.01,1021210010,1056 SAINT NICHOLAS AVE,New York,NY,10032,3800
1726,40.744,-73.818,NY,14,1,10609.4429,,AggieReverseGeocoder,,4.01,4064300001,15002 BOOTH MEMORIAL AVE,New York,NY,11355,5405
1727,40.7419,-73.9075,NY,15,1,12968.833,,AggieReverseGeocoder,,4.01,4013300034,5717 QUEENS BLVD,New York,NY,11377,4742
1728,40.6715,-73.9483,NY,16,1,10796.9441,,AggieReverseGeocoder,,4.01,3012550032,906 SAINT JOHNS PL,New York,NY,11216,4306
1729,40.7149,-74.0079,NY,17,1,8093.8018,,AggieReverseGeocoder,,4.01,1001350014,102 CHAMBERS ST,New York,NY,10007,1826
1730,40.7541,-73.9921,NY,18,1,7328.1719,,AggieReverseGeocoder,,4.01,1007600046,537 8TH AVE,New York,NY,10018,4310
1731,40.7032,-73.9847,NY,19,1,9500.0608,,AggieReverseGeocoder,,4.01,3000317502,50 BRIDGE ST,New York,NY,11201,1175
1732,40.7489,-74.007,NY,20,1,6921.9193,,AggieReverseGeocoder,,4.01,1006950001,182 11TH AVE,New York,NY,10011,1006
1733,40.7177,-73.9624,NY,21,1,10031.3142,,AggieReverseGeocoder,,4.01,3023490015,157 KENT ST,New York,NY,11222,2103
1734,40.7677,-73.9821,NY,22,1,8234.4277,,AggieReverseGeocoder,,4.01,1010300001,990 8TH AVE,New York,NY,10019,1831
1735,40.701,-73.9913,NY,23,1,8781.3062,,AggieReverseGeocoder,,4.01,3002077502,75 POPLAR ST,New York,NY,11201,6940
