id,lat,long,State
2450,40.7433,-73.855,NY
2451,40.736,-74.0051,NY
2452,40.7294,-73.984,NY
2453,40.6077,-73.9552,NY
2454,40.7435,-73.9215,NY
2455,40.7413,-73.9811,NY
2456,40.7365,-73.9563,NY
2457,40.7841,-73.7766,NY
2458,40.7296,-73.9966,NY
2459,40.7449,-73.9913,NY
2460,40.7725,-73.922,NY
2461,40.6937,-73.993,NY
2462,40.7419,-73.9768,NY
2463,40.6733,-73.9796,NY
2464,40.88,-73.8789,NY
2465,40.7454,-74.0082,NY
2466,40.6648,-73.9915,NY
2467,40.7254,-73.9517,NY
2468,40.7214,-73.9877,NY
2469,40.742,-73.9189,NY
2470,40.7338,-74.0012,NY
2471,40.7529,-73.9696,NY
2472,40.6919,-73.9926,NY
2473,40.7539,-73.9681,NY
2474,40.7337,-74.0021,NY
2475,40.6777,-73.9601,NY
2476,40.6619,-73.9857,NY
2477,40.7245,-74.0008,NY
2478,40.7159,-73.9446,NY
2479,40.6908,-73.9962,NY
2480,40.7335,-73.9855,NY
2481,40.744,-73.8977,NY
2482,40.7304,-73.9864,NY
2483,40.8789,-73.8857,NY
2484,40.8479,-73.886,NY
2485,40.765,-73.9841,NY
2486,40.7853,-73.9534,NY
2487,40.7791,-73.9448,NY
2488,40.7461,-73.9749,NY
2489,40.7222,-73.9406,NY
2490,40.7346,-73.98,NY
2491,40.6627,-73.9453,NY
2492,40.6378,-73.9731,NY
2493,40.867,-73.8705,NY
2494,40.8677,-73.9212,NY
2495,40.881,-73.9033,NY
2496,40.8013,-73.9539,NY
2497,40.7474,-73.986,NY
2498,40.794,-73.9681,NY
2499,40.7736,-73.9477,NY
2500,40.6999,-73.9028,NY
2501,40.7902,-73.9731,NY
2502,40.7236,-73.9853,NY
2503,40.7018,-73.8156,NY
2504,40.7501,-73.9949,NY
2505,40.7581,-73.9153,NY
2506,40.6825,-73.9796,NY
2507,40.7601,-73.907,NY
2508,40.7511,-73.9793,NY
2509,40.6837,-73.968,NY
2510,40.6858,-73.9731,NY
2511,40.7513,-73.8893,NY
2512,40.7265,-73.9771,NY
2513,40.5728,-73.996,NY
2514,40.8277,-73.9397,NY
2515,40.6446,-73.9622,NY
2516,40.7594,-73.9754,NY
2517,40.7678,-73.9933,NY
2518,40.7827,-73.9533,NY
2519,40.7498,-73.9413,NY
2520,40.775,-73.9631,NY
2521,40.7512,-73.9783,NY
2522,40.5822,-73.9555,NY
2523,40.858,-73.9272,NY
2524,40.7818,-73.9793,NY
2525,40.7537,-73.9786,NY
2526,40.7815,-73.9604,NY
2527,40.7248,-73.9973,NY
2528,40.7636,-73.9795,NY
2529,40.7266,-73.9958,NY
2530,40.7834,-73.9569,NY
2531,40.7813,-73.9461,NY
2532,40.6476,-74.0114,NY
2533,40.7567,-73.9887,NY
2534,40.7567,-73.8288,NY
2535,40.6963,-73.9912,NY
2536,40.6913,-73.9392,NY
2537,40.7628,-73.9874,NY
2538,40.7583,-73.9599,NY
2539,40.733,-74.0066,NY
2540,40.7583,-73.9711,NY
2541,40.7646,-73.9935,NY
2542,40.7556,-73.8854,NY
2543,40.7402,-73.9948,NY
2544,40.7808,-73.9488,NY
2545,40.6954,-73.9492,NY
2546,40.7704,-73.9876,NY
2547,40.8363,-73.8366,NY
2548,40.7642,-73.981,NY
2549,40.815,-73.9408,NY
2550,40.8372,-73.9426,NY
2551,40.7498,-73.9794,NY
2552,40.724,-74.0034,NY
2553,40.8661,-73.9191,NY
2554,40.7717,-73.9888,NY
2555,40.7727,-73.9495,NY
2556,40.6068,-73.916,NY
