id,lat,long,State
4103,40.7979,-73.94,NY
4104,40.7597,-73.9956,NY
4105,40.7747,-73.9822,NY
4106,40.7611,-73.9733,NY
4107,40.753,-73.9001,NY
4108,40.7427,-73.9845,NY
4109,40.7723,-73.9272,NY
4110,40.7627,-73.9692,NY
4111,40.8339,-73.927,NY
4112,40.8037,-73.9675,NY
4113,40.8034,-73.9561,NY
4114,40.6715,-73.9577,NY
4115,40.7358,-73.7744,NY
4116,40.7533,-73.9203,NY
4117,40.6491,-73.9785,NY
4118,40.6717,-73.952,NY
4119,40.747,-73.9564,NY
4120,40.7865,-73.9484,NY
4121,40.7539,-73.9848,NY
4122,40.7535,-73.9788,NY
4123,40.8123,-73.9045,NY
4124,40.7525,-73.9726,NY
4125,40.8553,-73.9072,NY
4126,40.8136,-73.9611,NY
4127,40.8058,-73.9671,NY
4128,40.7635,-73.9263,NY
4129,40.7289,-73.9993,NY
4130,40.753,-74.004,NY
4131,40.7379,-73.9922,NY
4132,40.71,-73.7947,NY
4133,40.6594,-73.9499,NY
4134,40.8039,-73.9582,NY
4135,40.7694,-73.9519,NY
4136,40.7201,-74.0085,NY
4137,40.8231,-73.9505,NY
4138,40.7454,-73.991,NY
4139,40.7685,-73.9657,NY
4140,40.7396,-73.9889,NY
4141,40.6634,-73.9893,NY
4142,40.8187,-73.9186,NY
4143,40.7031,-73.9942,NY
4144,40.7832,-73.9525,NY
4145,40.734,-73.8624,NY
4146,40.734,-73.9888,NY
4147,40.6673,-73.9746,NY
4148,40.6777,-73.9498,NY
4149,40.643,-73.9993,NY
4150,40.6902,-73.7544,NY
4151,40.6538,-73.9555,NY
4152,40.7525,-73.9883,NY
4153,40.6096,-73.9663,NY
4154,40.6329,-73.9477,NY
4155,40.7078,-74.0069,NY
4156,40.7172,-74.0037,NY
4157,40.7452,-73.9554,NY
4158,40.7975,-73.9488,NY
4159,40.6886,-73.851,NY
4160,40.7515,-73.9357,NY
4161,40.7776,-73.9834,NY
4162,40.6771,-73.9707,NY
4163,40.7679,-73.9084,NY
4164,40.7597,-73.9859,NY
4165,40.7533,-74.0038,NY
4166,40.7509,-73.9807,NY
4167,40.7839,-73.9503,NY
4168,40.7666,-73.965,NY
4169,40.7249,-73.9873,NY
4170,40.7511,-73.9887,NY
4171,40.7365,-73.9949,NY
4172,40.7249,-73.9884,NY
4173,40.801,-73.9688,NY
4174,40.6766,-73.7794,NY
4175,40.7229,-73.9431,NY
4176,40.7434,-73.9961,NY
4177,40.7524,-73.9804,NY
4178,40.7562,-73.9716,NY
4179,40.7725,-73.9824,NY
4180,40.7989,-73.9364,NY
4181,40.7025,-73.9811,NY
4182,40.6247,-73.9993,NY
4183,40.7416,-73.9542,NY
4184,40.6539,-74.0082,NY
4185,40.7312,-73.9919,NY
4186,40.7722,-73.9643,NY
4187,40.8139,-73.8564,NY
4188,40.8051,-73.9549,NY
4189,40.7535,-73.8869,NY
4190,40.7232,-73.9894,NY
4191,40.7096,-73.967,NY
4192,40.8242,-73.9372,NY
4193,40.7321,-73.9923,NY
4194,40.739,-73.9929,NY
4195,40.7839,-73.9523,NY
4196,40.6716,-73.9503,NY
4197,40.8002,-73.9673,NY
4198,40.775,-73.947,NY
4199,40.7583,-73.8341,NY
4200,40.7461,-74.0081,NY
4201,40.8198,-73.8976,NY
4202,40.7703,-73.9499,NY
4203,40.6446,-74.0049,NY
4204,40.7044,-73.7928,NY
4205,40.7429,-73.9772,NY
4206,40.8617,-73.8243,NY
4207,40.6692,-73.9381,NY
4208,40.7414,-73.9939,NY
4209,40.7707,-73.9509,NY
4210,40.7185,-74.0026,NY
4211,40.6688,-73.9733,NY
4212,40.7481,-73.9565,NY
4213,40.7449,-73.9975,NY
4214,40.6683,-73.9538,NY
4215,40.6453,-74.0137,NY
4216,40.8142,-73.827,NY
4217,40.7959,-73.9727,NY
4218,40.7369,-73.7625,NY
4219,40.6641,-73.9434,NY
4220,40.7604,-73.8748,NY
4221,40.761,-73.9772,NY
4222,40.7477,-73.975,NY
4223,40.6748,-73.9445,NY
4224,40.7164,-73.9475,NY
4225,40.7717,-73.9552,NY
4226,40.7789,-73.9623,NY
4227,40.7551,-73.9769,NY
4228,40.7602,-73.9136,NY
4229,40.7201,-74.0106,NY
4230,40.7551,-73.9886,NY
4231,40.7485,-73.9761,NY
4232,40.7347,-73.9883,NY
4233,40.7604,-73.9894,NY
4234,40.7482,-73.9685,NY
4235,40.7511,-73.9869,NY
4236,40.6987,-73.7427,NY
4237,40.7714,-73.9504,NY
4238,40.7841,-73.9522,NY
4239,40.7686,-73.9111,NY
4240,40.6918,-73.9261,NY
4241,40.7376,-73.9803,NY
4242,40.8581,-73.8957,NY
4243,40.7452,-73.9211,NY
4244,40.8472,-73.8173,NY
4245,40.6449,-73.9744,NY
4246,40.693,-73.9678,NY
4247,40.7359,-74.0008,NY
4248,40.6707,-73.9337,NY
4249,40.7547,-73.9258,NY
4250,40.7474,-73.9724,NY
4251,40.7447,-73.9758,NY
4252,40.8388,-73.86,NY
4253,40.7019,-73.9181,NY
4254,40.73,-73.9835,NY
4255,40.6385,-73.9732,NY
4256,40.6769,-73.9,NY
4257,40.7651,-73.9804,NY
4258,40.7704,-73.9622,NY
4259,40.7859,-73.953,NY
4260,40.7333,-73.9521,NY
4261,40.7141,-73.949,NY
4262,40.7034,-73.9866,NY
4263,40.7194,-73.9912,NY
4264,40.6931,-73.9698,NY
4265,40.7031,-73.8009,NY
4266,40.8572,-73.9098,NY
4267,40.7583,-73.9964,NY
4268,40.6796,-73.9693,NY
4269,40.7106,-73.9664,NY
4270,40.6782,-73.9442,NY
4271,40.7593,-73.9769,NY
4272,40.8551,-73.9369,NY
4273,40.6893,-73.9178,NY
4274,40.72,-74.0086,NY
4275,40.7408,-73.9838,NY
4276,40.7931,-73.9711,NY
4277,40.8415,-73.9407,NY
4278,40.6529,-73.9593,NY
4279,40.7602,-73.9576,NY
4280,40.7565,-73.984,NY
4281,40.6971,-73.9648,NY
4282,40.7891,-73.9777,NY
4283,40.7896,-73.9676,NY
4284,40.7172,-73.9907,NY
4285,40.7519,-73.9676,NY
4286,40.8139,-73.9484,NY
4287,40.8616,-73.9031,NY
4288,40.8066,-73.9104,NY
4289,40.7541,-73.9995,NY
4290,40.759,-73.9959,NY
4291,40.7776,-73.9594,NY
4292,40.68,-73.9549,NY
4293,40.7403,-73.9959,NY
4294,40.7868,-73.973,NY
4295,40.8296,-73.9481,NY
4296,40.6884,-73.9784,NY
4297,40.7498,-73.8841,NY
4298,40.6903,-73.9603,NY
4299,40.7629,-73.9914,NY
4300,40.8615,-73.9278,NY
4301,40.7354,-73.9827,NY
4302,40.7146,-73.8483,NY
4303,40.8289,-73.9465,NY
4304,40.8694,-73.85,NY
4305,40.7143,-73.9996,NY
4306,40.7407,-73.8717,NY
4307,40.707,-73.7878,NY
4308,40.7547,-73.8454,NY
4309,40.7504,-73.9353,NY
4310,40.7566,-73.9298,NY
4311,40.7878,-73.9495,NY
4312,40.7488,-73.9691,NY
4313,40.6968,-73.9676,NY
4314,40.687,-73.857,NY
4315,40.7592,-73.9958,NY
4316,40.8264,-73.9505,NY
4317,40.8464,-73.8438,NY
4318,40.768,-73.9837,NY
4319,40.8233,-73.9429,NY
