id,lat,long,State,AUTO_UNIQUE_ID_2015-11-30_prg140230_geo_2450_end,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
2450,40.7433,-73.855,NY,1,1,12421.9545,,AggieReverseGeocoder,,4.01,4019430051,5202 108TH ST,New York,NY,11368,3303
2451,40.736,-74.0051,NY,2,1,7343.797,,AggieReverseGeocoder,,4.01,1006230016,403 BLEECKER ST,New York,NY,10014,2157
2452,40.7294,-73.984,NY,3,1,7984.4261,,AggieReverseGeocoder,,4.01,1004520028,342 E 11TH ST,New York,NY,10003,7417
2453,40.6077,-73.9552,NY,4,1,12812.582,,AggieReverseGeocoder,,4.01,3068000016,1730 E 18TH ST,New York,NY,11229,2151
2454,40.7435,-73.9215,NY,5,1,11859.4509,,AggieReverseGeocoder,,4.01,4001630037,4225 43RD AVE,New York,NY,11104,2510
2455,40.7413,-73.9811,NY,6,1,7656.299,,AggieReverseGeocoder,,4.01,1009080001,375 3RD AVE,New York,NY,10016,9065
2456,40.7365,-73.9563,NY,7,1,9046.9329,,AggieReverseGeocoder,,4.01,3024820026,1133 MANHATTAN AVE,New York,NY,11222,1031
2457,40.7841,-73.7766,NY,8,1,7000.0448,,AggieReverseGeocoder,,4.01,4059480002,21419 18TH AVE,New York,NY,11360,1622
2458,40.7296,-73.9966,NY,9,1,7546.9233,,AggieReverseGeocoder,,4.01,1005350008,567 LAGUARDIA PL,New York,NY,10012,1016
2459,40.7449,-73.9913,NY,10,1,7609.4237,,AggieReverseGeocoder,,4.01,1008280001,776 AVENUE OF THE AMERICAS,New York,NY,10001,6354
2460,40.7725,-73.922,NY,11,1,10328.1911,,AggieReverseGeocoder,,4.01,4008720065,2520 CRESCENT ST S,New York,NY,11102,2999
2461,40.6937,-73.993,NY,12,1,8781.3062,,AggieReverseGeocoder,,4.01,3002490001,100 CLINTON ST,New York,NY,11201,4227
2462,40.7419,-73.9768,NY,13,1,7859.4253,,AggieReverseGeocoder,,4.01,1009367501,333 E 30TH ST,New York,NY,10016,6416
2463,40.6733,-73.9796,NY,14,1,10406.3166,,AggieReverseGeocoder,,4.01,3009650038,264 6TH AVE,New York,NY,11215,2567
2464,40.88,-73.8789,NY,15,1,7234.4213,,AggieReverseGeocoder,,4.01,2033270001,111 E 210TH ST,New York,NY,10467,2401
2465,40.7454,-74.0082,NY,16,1,12031.327,,AggieReverseGeocoder,,4.01,1006900012,80 11TH AVE,New York,NY,10011,2827
2466,40.6648,-73.9915,NY,17,1,17250.1104,,AggieReverseGeocoder,,4.01,3010520070,215 PROSPECT AVE,New York,NY,11215,5315
2467,40.7254,-73.9517,NY,18,1,18234.4917,,AggieReverseGeocoder,,4.01,3026470001,90 NORMAN AVE,New York,NY,11222,2934
2468,40.7214,-73.9877,NY,19,1,15828.2263,,AggieReverseGeocoder,,4.01,1004120035,161 LUDLOW ST,New York,NY,10002,1515
2469,40.742,-73.9189,NY,20,1,22156.3918,,AggieReverseGeocoder,,4.01,4001530013,4602 GREENPOINT AVE,New York,NY,11104,1708
2470,40.7338,-74.0012,NY,21,1,13562.5868,,AggieReverseGeocoder,,4.01,1005930051,165 WAVERLY PL,New York,NY,10014,6837
2471,40.7529,-73.9696,NY,22,1,15875.1016,,AggieReverseGeocoder,,4.01,1013400001,884 2ND AVE,New York,NY,10017,2111
2472,40.6919,-73.9926,NY,23,1,16656.3566,,AggieReverseGeocoder,,4.01,3002680035,46 LIVINGSTON ST,New York,NY,11201,4812
2473,40.7539,-73.9681,NY,24,1,16093.853,,AggieReverseGeocoder,,4.01,1013427501,309 E 49TH ST,New York,NY,10017,1634
2474,40.7337,-74.0021,NY,25,1,14343.8418,,AggieReverseGeocoder,,4.01,1006100001,113 7TH AVE S,New York,NY,10014,3131
2475,40.6777,-73.9601,NY,26,1,19906.3774,,AggieReverseGeocoder,,4.01,3011480035,832 BERGEN ST,New York,NY,11238,3702
2476,40.6619,-73.9857,NY,27,1,15406.3486,,AggieReverseGeocoder,,4.01,3011120010,481 7TH AVE,New York,NY,11215,5976
2477,40.7245,-74.0008,NY,28,1,14328.2167,,AggieReverseGeocoder,,4.01,1005000001,100 WOOSTER ST,New York,NY,10012,3845
2478,40.7159,-73.9446,NY,29,1,17859.4893,,AggieReverseGeocoder,,4.01,3027550008,380 GRAHAM AVE,New York,NY,11211,2410
2479,40.6908,-73.9962,NY,30,1,17609.4877,,AggieReverseGeocoder,,4.01,3002750024,121 ATLANTIC AVE,New York,NY,11201,5504
2480,40.7335,-73.9855,NY,31,1,14109.4653,,AggieReverseGeocoder,,4.01,1008970016,221 E 15TH ST,New York,NY,10003,3715
2481,40.744,-73.8977,NY,32,1,23234.5237,,AggieReverseGeocoder,,4.01,4013070011,4115 67TH ST,New York,NY,11377,3778
2482,40.7304,-73.9864,NY,33,1,13968.8394,,AggieReverseGeocoder,,4.01,1004670035,175 2ND AVE,New York,NY,10003,5786
2483,40.8789,-73.8857,NY,34,1,7453.1727,,AggieReverseGeocoder,,4.01,2032510490,40 W MOSHOLU PKWY S,New York,NY,10468,1150
